,region_name,date,hospitalized_new,symptom:Angular cheilitis,symptom:Aphonia,symptom:Crackles,symptom:Dysautonomia,symptom:Hemolysis,symptom:Rectal pain,symptom:Shallow breathing,symptom:Ventricular fibrillation
151,New Hampshire,2020-04-20,46.0,243.77932188360003,116.03991227760001,172.6272769068,243.77932188360003,220.6190924784,227.7820500264,230.7666156714,169.7620938876
152,New Hampshire,2020-04-27,39.0,207.36762101460002,76.0467326346,190.8928186542,141.7071768246,277.4452223592,241.63043461919997,187.9082530092,190.8928186542
153,New Hampshire,2020-05-04,36.0,214.291813311,124.75484396099999,143.856064089,240.6753736128,249.50968792199998,234.82562494860002,201.0403418472,170.2396243908
154,New Hampshire,2020-05-11,34.0,153.7648220304,114.96546864540001,134.305454025,252.2554883154,129.8882968704,193.996766925,159.73395332040002,210.4715692854
155,New Hampshire,2020-05-18,72.0,183.849243732,76.0467326346,180.74529546120002,179.19332132579999,134.4248366508,230.16970254240002,234.7062423228,233.2736508132
156,New Hampshire,2020-05-25,30.0,182.65541747400002,121.2927478128,142.7816204568,210.2328040338,144.3335945922,207.2482383888,116.6368254066,179.55146920319999
157,New Hampshire,2020-06-01,38.0,197.8170109506,95.0285701368,113.53287713579999,210.11342140800002,151.8547000176,225.39439751039998,124.157930832,207.0094731372
158,New Hampshire,2020-06-08,26.0,191.2509665316,108.1606589748,116.03991227760001,308.8428529446,181.81973909340002,199.1302198344,158.4207444366,192.80294066699997
159,New Hampshire,2020-06-15,38.0,156.1524745464,141.5877941988,170.59777226819998,268.7302906758,172.1497464036,214.0530480594,138.3644633022,173.8211031648
160,New Hampshire,2020-06-22,11.0,225.63316276199998,94.6704222594,162.5991363396,224.08118862659998,108.87695472959999,295.1138509776,175.1343120486,178.35764294519998
161,New Hampshire,2020-06-29,7.0,168.0907371264,107.2055979684,107.2055979684,246.52512227699998,137.6481675474,225.7525453878,142.5428552052,198.53330670539998
162,New Hampshire,2020-07-06,20.0,197.93639357639998,126.18743547060001,166.7775282426,229.09525891020002,177.6413471904,229.09525891020002,159.0176575656,163.67357997180002
163,New Hampshire,2020-07-13,84.0,228.9758762844,86.79116895659999,157.82383130760002,290.4579285714,168.926415507,243.0630261288,235.183772826,176.8056688098
164,New Hampshire,2020-07-20,15.0,171.314068023,144.3335945922,141.2296463214,334.7488827432,177.6413471904,236.377599084,168.2101197522,225.2750148846
165,New Hampshire,2020-07-27,7.0,195.9068889378,153.2872915272,143.7366814632,349.194180465,129.53014899299998,186.4756614996,173.8211031648,217.99267471080003
166,New Hampshire,2020-08-03,6.0,214.17243068520003,88.8206735952,115.801147026,344.1801101814,153.8842046562,236.377599084,191.96726228639997,217.276378956
167,New Hampshire,2020-08-10,7.0,192.5641754154,129.4107663672,135.7380455346,339.4048051494,113.65225976159999,224.2005712524,159.4951880688,209.9940387822
168,New Hampshire,2020-08-17,3.0,246.6445049028,124.8742265868,134.4248366508,314.6926016088,105.89238908459998,237.2132774646,183.3717132288,224.55871912979998
169,New Hampshire,2020-08-24,3.0,199.84651558919998,117.7112690388,168.8070328812,353.13380711639996,102.19152768480001,212.1429260466,168.8070328812,218.35082258819997
170,New Hampshire,2020-08-31,4.0,190.1765228994,183.9686263578,149.70581275319998,260.254124244,224.439336504,187.0725746286,174.53739891959998,197.93639357639998
171,New Hampshire,2020-09-07,3.0,195.190593183,121.0539825612,148.2732212436,276.967691856,231.48291142620002,226.9463716458,157.3463008044,281.5042316364
172,New Hampshire,2020-09-14,4.0,233.15426818740002,112.81658138099999,222.64859711699998,285.8020061652,380.5918110504,212.1429260466,209.03897777580002,257.269558599
173,New Hampshire,2020-09-21,11.0,181.70035646760002,160.68901432680002,202.7116986084,327.4665425694,265.8651076566,279.355344372,147.1987776114,267.2976991662
174,South Dakota,2020-03-09,0.0,42.498664496399996,106.3172570292,70.5957882,52.7350537854,38.2629172044,31.1327425962,73.13723657519999,65.51289144959999
175,South Dakota,2020-03-16,0.0,57.182588442,49.41705174,81.46753958279999,31.1327425962,73.6314070926,61.488931522200005,91.84512044819999,72.7842576342
176,South Dakota,2020-03-23,0.0,33.6035951832,71.2311502938,82.38528482939999,60.78297364019999,146.41566472679997,42.428068708199994,98.4105287508,43.9811760486
177,South Dakota,2020-03-30,22.0,34.8743193708,34.8743193708,73.7020028808,31.1327425962,53.8645863966,45.957858118199994,90.362608896,76.1022596796
178,South Dakota,2020-04-06,21.0,33.3918078186,31.1327425962,70.80757556459999,31.1327425962,77.302388079,39.886620333,70.80757556459999,58.594504206
